ID,valid,PMID,title,abstract,affiliation,year,link
1,0,27530914,Association between cannabis use and treatment outcomes in patients receiving methadone maintenance treatment: a systematic review protocol.,"BACKGROUND: With the non-medical use of prescription opioids increasingly becoming a method of abuse in Canada, the number of patients requiring methadone maintenance treatment (MMT) for opioid use disorder has increased dramatically. The rate of cannabis use in this population is disproportionately high (~50 %). Because its use is generally perceived as harmless, cannabis use is often not monitored during MMT. Current literature regarding the effects of cannabis use on MMT is conflicting, and the presence and nature of an association has not been clearly established. The primary objective of this review will be to conduct a systematic review of the literature and, if appropriate, a meta-analysis to determine whether there is an association between cannabis use and MMT outcomes. A secondary objective will be to perform subgroup analyses (by age, sex, method of cannabis measurement, and country) to determine whether cannabis use differentially influences MMT outcomes within these subgroups.DESIGN: The search will be conducted on the following electronic databases using a predefined search strategy: MEDLINE, EMBASE, PsycINFO, and Cumulative Index to Nursing and Allied Health Literature (CINAHL). Two authors (LZ and MB) will independently screen articles using predetermined inclusion/exclusion criteria and will extract data from included articles using a pilot-tested data extraction form. Disagreements at all stages of the screening process will be settled through discussion, and when consensus cannot be reached, a third author (ZS) will be consulted. An assessment of quality and risk of bias will be conducted on all included articles, and a sensitivity analysis will be used to compare results of studies with high and low risk of bias. We will perform random- and fixed-effects meta-analyses, if appropriate, with heterogeneity calculated using the I (2) statistic and formal evaluation of publication bias.DISCUSSION: Results of this systematic review will elucidate the association between cannabis use and methadone maintenance treatment outcomes. We will provide evidence that will be useful to clinicians regarding whether monitoring cannabis use during MMT is advantageous for optimizing MMT outcomes.SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42015029372.","MiNDS Neuroscience Graduate Program, McMaster University, 1280 Main Street West, Hamilton, ON, L8S 4L8, Canada.",2016,10.1186/s13643-016-0317-2
2,,27254289,Diagnosis and Treatment of Alcoholic Hepatitis: A Systematic Review.,"Alcoholic hepatitis (AH) occurs in about one-third of individuals reporting long-term heavy alcohol use. It is associated with high short-term mortality, economic burden, and hospital resources utilization. We performed this systematic review to (i) describe clinical characteristics and genomics associated with the risk of AH; (ii) discuss role and limitations of liver biopsy and prognostic scoring systems; (iii) summarize evidence regarding the currently available therapies including liver transplantation; and (iv) outline emerging therapies with areas of unmet need. Literature search was performed for studies published in English language (January 1971 through March 2016). The following search engines were used: PubMed, Elsevier Embase, PsycINFO, and Cochrane Library. For the treatment section, only randomized controlled studies were included for this review. A total of 138 studies (59 randomized, 22 systematic reviews or meta-analyses, 7 surveys or guidelines, 7 population-based, and 43 prospective cohorts) were cited. There are over 325,000 annual admissions with AH contributing to about 0.8% of all hospitalizations in the United States. Liver biopsy may be required in about 25 to 30% cases for uncertain clinical diagnosis. Corticosteroids with or without N-acetylcysteine remains the only available therapy for severe episodes. Data are emerging on the role of liver transplantation as salvage therapy for select patients. Abstinence remains the most important factor impacting long-term prognosis. Results from the ongoing clinical trials within the National Institute on Alcohol Abuse and Alcoholism-funded consortia are awaited for more effective and safer therapies. AH is a potentially lethal condition with a significant short-term mortality. A high index of suspicion is required. There remains an unmet need for noninvasive biomarkers for the diagnosis, and predicting prognosis and response to therapy.","Division of Gastroenterology and Hepatology, University of Alabama at Birmingham, Birmingham, Alabama.",2016,10.1111/acer.13108
3,,27228523,"What Is the Prevalence of Symptomatic Obstructive Sleep Apnea Syndrome in Chronic Spinal Pain Patients? An Assessment of the Correlation of OSAS with Chronic Opioid Therapy, Obesity, and Smoking.","BACKGROUND: In modern medicine, obstructive sleep apnea syndrome (OSAS) is a commonly described sleep disorder with airway obstruction, disrupted sleep, and excessive daytime sleepiness. Since its description in 1976 by Guilleminault et al, numerous epidemiologic studies and systematic reviews, with multiple comorbidities related to cardiovascular sequelae, altered cognitive function, and multiple other potential complications have been described. Multiple risk factors have been identified included obesity, smoking, alcohol consumption, and other factors. Chronic pain and chronic opioid therapy also have been described to contribute to a large proportion of patients with OSAS. Chronic pain, obesity, smoking, and chronic opioid therapy are often found together, yet there is a paucity of literature describing OSAS in chronic pain patients.OBJECTIVES: To assess the prevalence of symptomatic OSAS in chronic spinal pain patients receiving chronic opioid therapy and determine the association of OSAS with multiple risk factors and comorbidities.STUDY DESIGN: A retrospective assessment of patients who attend a single interventional pain management practice from January 1, 2010to December 31, 2014.SETTING: A private interventional pain management practice in the United States.METHODS: The data were collected from 4,036 consecutive patients presenting for assessment to a pain management center from January 1, 2010 to December 31, 2014. All assessments were comprehensive and performed by 2 physicians. The comprehensive assessment included a complete history, a physical examination, and a review of records.RESULTS: The prevalence of OSAS in patients with chronic spinal pain was 13.8%. The results showed a higher prevalence in males compared to females (15.1% versus 12.8%), a higher prevalence in those aged 45 or older compared to those 25-45 years and those 18-25 years (16.3% versus 10.7% or 2.5%), higher prevalence in Hispanics and Asians compared to African Americans and whites (23.7% versus 16.2% versus 13.4%), higher prevalence in patients with combined back and neck pain compared to patients with thoracic pain only or back pain only (16.3% versus 8.2% to 11%). Prevalence also varied by body mass index (BMI): 32.4% in morbidly obese patients, 20.3% in severely obese patients, 15.7% in obese patients, 9.2% in those who were overweight, and only 5.7% in those with normal weight. A significant correlation with OSAS was also observed in patients smoking more than 40 pack years and multiple respiratory symptoms except for chronic bronchitis and multiple cardiovascular ailments.LIMITATIONS: The retrospective nature of the assessment.CONCLUSION: This retrospective assessment of over 4,000 patients suffering from chronic pain and receiving chronic opioid therapy indicated a prevalence of sleep apnea syndrome as 13.8%. Multiple risk factors including obesity, chronic obstructive pulmonary disease (COPD), chronic sinus and nasal discharge, and multiple comorbidities including cardiovascular and related ailments have been identified.KEY WORDS: Obstructive sleep apnea syndrome, chronic pain, chronic spinal pain, chronic opioid therapy, obesity, smoking, cardiovascular risk factors, pulmonary risk factors.","University of Michigan School of Public Health, Ann Arbor, MI.",2016,NA
4,,27046366,Screening for Chronic Obstructive Pulmonary Disease: Evidence Report and Systematic Review for the US Preventive Services Task Force.,"IMPORTANCE: Chronic obstructive pulmonary disease (COPD) is the third leading cause of death in the United States.OBJECTIVE: To systematically review literature on the accuracy of screening questionnaires and office-based screening pulmonary function testing and the efficacy and harms of treatment of screen-detected COPD.DATA SOURCES: MEDLINE, PubMed, and the Cochrane Central Register of Controlled Trials for relevant English-language studies published through January 2015.STUDY SELECTION: Two reviewers independently screened abstracts and studies. The search yielded 13,141 unique citations; 465 full-text articles were reviewed, and 33 studies met the inclusion criteria.DATA EXTRACTION AND SYNTHESIS: Two reviewers rated the quality of each study using USPSTF criteria.MAIN OUTCOMES AND MEASURES: Diagnostic accuracy (sensitivity, specificity, positive predictive value [PPV], and negative predictive value [NPV]; treatment efficacy (COPD exacerbations, all-cause mortality, quality of life, and dyspnea); and treatment harms.RESULTS: All screening questionnaires were based on symptoms as well as risk factors such as age and smoking history. The COPD Diagnostic Questionnaire was the most extensively studied (5 studies, n = 3048), with moderate overall performance for COPD detection: area under the receiver operating characteristic curve (AUC), 0.65 to 0.72; sensitivity, 80% to 93%; and specificity, 24% to 49%, at a threshold of greater than 16.5. Positive predictive value and NPV ranged from 17% to 45% and 76% to 98%, respectively. For pulmonary function-based screening tools, FEV1/FEV6 was the best studied (3 studies, n = 1587), with AUC ranging from 0.84 to 0.85. Sensitivity ranged from 51% to 80%. Specificity (range, 90%-95%) and PPV (range, 63%-75%) appeared better than questionnaires. There was not strong evidence to support that screening and supplying smokers with spirometry results improves smoking cessation rates. Treatment trials were unavailable for screen-detected patients. Trials that reported outcomes in patients with mild to moderate COPD included 2 trials of long-acting β-agonists (LABAs) (n = 3174), 1 RCT of LABAs and inhaled corticosteroids (ICS) (n = 1097), 5 RCTs of the long-acting muscarinic antagonist tiotropium (n = 4592), and 6 RCTs of ICS (n = 3983). They suggested no benefit in all-cause mortality, but a decrease in annual rates of exacerbations with pharmacologic treatments. Few trials reported harms for any individual drug class. Adverse effects were generally mild (eg, dry mouth and cough).CONCLUSIONS AND RELEVANCE: There was no direct evidence available to determine the benefits and harms of screening asymptomatic adults for COPD using questionnaires or office-based screening pulmonary function testing or to determine the benefits of treatment in screen-detected populations. Indirect evidence suggests that the COPD Diagnostic Questionnaire has moderate overall performance for COPD detection. Among patients with mild to moderate COPD, the benefit of pharmacotherapy for reducing exacerbations was modest.","Department of Family Medicine, University of Washington, Seattle2Kaiser Permanente Research Affiliates Evidence-based Practice Center, Portland, Oregon.",2016,10.1001/jama.2016.2654
5,,26857563,Effectiveness of an Electronic Booster Session Delivered to Mandated Students.,"College student drinking continues to be a problem in the United States. Students who have violated campus alcohol policy are at particularly high risk for dangerous drinking. While Brief Alcohol Screening and Intervention for College Students (BASICS) has been found to be an effective strategy in reducing high-risk drinking and associated consequences, questions remain about ways to further reduce risk or sustain changes associated with a face-to face intervention. The purpose of this study was to assess the effectiveness of a computer-delivered personalized feedback (electronic booster) delivered to policy violators who completed a mandated BASICS program. At 3-month post-intervention, 346 participants (60.4% male and 39.6% female) were randomized to one of two conditions: assessment only (n = 171) or electronic booster feedback (n = 175). Follow-up assessments were given to all participants at 3, 6, and 12-month post-initial intervention. Both groups showed reductions in drinking after the in-person BASICS intervention, but no additional reductions were seen with the addition of an electronic booster session. Findings suggest that although brief motivational interventions delivered in person to mandated students have been shown to be effective with mandated students, there is no additional benefit from an electronic booster session delivered 3-month post-intervention for this population.","University of Massachusetts Amherst, MA, USA sallyl@umass.edu.",2016,10.1177/0272684X16628726
6,,26767821,Alcohol withdrawal management in adult patients in a high acuity medical surgical transitional care unit: a best practice implementation project.,"BACKGROUND: Excessive alcohol consumption, a major health problem worldwide, affects about 6% of the United States population. Caring for patients with alcohol withdrawal syndrome in a hospital ward presents complex physiologic and psycho-social challenges which are best met with evidence-based practices. An academic medical center in the United States has been experiencing an increase in patients with alcohol withdrawal syndrome. However, gaps in clinician knowledge and infrastructure supporting the management of these patients still existed.OBJECTIVES: The aim of this project was to improve the continuity of care of patients undergoing alcohol withdrawal in a medical surgical high acuity transitional care unit by incorporating evidence-based practices, and thereby to positively impact on patient outcomes. Specific objectives were related to standardized assessments and pharmacologic management strategies.METHODS: The project used the Joanna Briggs Institute's Practical Application of Clinical Evidence System and Getting Research into Practice audit tool for promoting change in health practice. A baseline clinical audit was conducted to assess compliance with best practices for managing alcohol withdrawal syndrome, which was followed by several interventions targeted at nurses and providers. A follow-up audit was conducted to assess compliance with the implemented strategies. The follow-up audit used the same evidence-based audit criteria as those used for the baseline audit. A non-probabilistic, convenience sampling approach was used. A sample size of 15 patients was used for both the baseline and follow-up audits.RESULTS: The baseline audit revealed a high compliance rate for four of the five audit criteria concerning risk assessment and pharmacologic strategies. There was sub-optimal compliance (53%) with the criterion regarding use of the Clinical Institute Withdrawal Assessment of Alcohol Scale (revised) (CIWA-Ar) scale to assess patients with alcohol withdrawal. After the interventions were implemented this criterion recorded an improvement to 100% compliance. None of the patients in the pilot were transferred to the intensive care unit (ICU) for reasons relating to alcohol withdrawal.CONCLUSIONS: The outcomes of this project demonstrated alcohol withdrawal management can be safely undertaken outside the ICU when the patients are appropriately assessed and treated for the severity of their withdrawal symptoms. This new clinical program significantly impacted on continuity of care. Challenges were resolved using an interdisciplinary team approach. The project resulted in plans for further areas of work concerning alcohol withdrawal management, including adoption of similar approaches by other acute and transitional care units.",University of California San Francisco.,2016,10.11124/jbisrir-2015-2529
7,,26703708,Indicated Prevention of Fetal Alcohol Spectrum Disorders in South Africa: Effectiveness of Case Management.,"In the Western Cape Province of South Africa (ZA) a subculture of binge drinking produces the highest global documented prevalence of fetal alcohol spectrum disorders (FASD). FASD prevention research activities in ZA use the Comprehensive Prevention approach from the United States Institute of Medicine. Case management (CM) was delivered as a method of indicated prevention to empower heavy drinking pregnant women to achieve cessation or a reduction in drinking. CM activities incorporated life management, Motivational Interviewing (MI) techniques and the Community Reinforcement Approach (CRA). Data were collected at baseline, 6, 12 and 18 months. Mean drinking decreases 6 months into CM; but overall alcohol consumption rose significantly over time to levels higher than baseline at 12 and 18 months. Alcohol consumption drops significantly from before pregnancy to the second and third trimesters. AUDIT scores indicate that problematic drinking decreases significantly even after the vulnerable fetus/baby was born. CM significantly increases client happiness, which correlates with reduced weekend drinking. CM was successful for women with high-risk drinking behaviour, and was effective in helping women stop drinking, or drink less, while pregnant, reducing the risk of FASD.","Department of Psychiatry, Faculty of Medicine and Health Sciences, Stellenbosch University, Tygerberg 7505, South Africa. pmay@email.unc.edu.",2015,10.3390/ijerph13010076
8,,26663383,"Cancer screening, prevention, and treatment in people with mental illness.","People with mental illness die decades earlier in the United States compared with the general population. Most of this disparity is related to preventable and treatable chronic conditions, with many studies finding cancer as the second leading cause of death. Individual lifestyle factors, such as smoking or limited adherence to treatment, are often cited as highly significant issues in shaping risk among persons with mental illness. However, many contextual or systems-level factors exacerbate these individual factors and may fundamentally drive health disparities among people with mental illness. The authors conducted an integrative review to summarize the empirical literature on cancer prevention, screening, and treatment for people with mental illness. Although multiple interventions are being developed and tested to address tobacco dependence and obesity in these populations, the evidence for effectiveness is quite limited, and essentially all prevention interventions focus at the individual level. This review identified only one published article describing evidence-based interventions to promote cancer screening and improve cancer treatment in people with mental illness. On the basis of a literature review and the experience and expertise of the authors, each section in this article concludes with suggestions at the individual, interpersonal, organizational, community, and policy levels that may improve cancer prevention, screening, and treatment in people with mental illness.","Associate Professor, Department of Family and Community Medicine, Thomas Jefferson University, Philadelphia, PA.",2015,10.3322/caac.21334
9,,26599083,Prevalence and Correlates of Client-Perpetrated Violence against Female Sex Workers in 13 Mexican Cities.,"BACKGROUND: Globally, client-perpetrated violence against female sex workers (FSWs) has been associated with multiple health-related harms, including high-risk sexual behavior and increased exposure to HIV/STIs. This study examined correlates of client-perpetrated sexual, physical, and economic violence (e.g., robbery) against FSWs in 13 cities throughout Mexico.METHODS: FSWs (N = 1,089) who were enrolled in a brief, evidence-based, sexual risk reduction intervention for FSWs (Mujer Segura) were interviewed about their work context, including experiences of violence perpetrated by clients, sexual risk and substance use practices, financial need, and social supports. Three broad categories of factors (sociodemographic, work context, behavioral and social characteristics of FSWs) were examined as correlates of sexual, physical, and economic violence.RESULTS: The prevalence of different types of client-perpetrated violence against FSWs in the past 6 months was: sexual (11.7%), physical (11.8%), economic (16.9%), and any violence (22.6%). Greater financial need, self-identification as a street worker, and lower perceived emotional support were independently associated with all three types of violence. Alcohol use before or during sex with clients in the past month was associated with physical and sexual violence. Using drugs before or during sex with clients, injection drug use in the past month, and population size of city were associated with sexual violence only, and FSWs' alcohol use score (AUDIT-C) was associated with economic violence only.CONCLUSIONS: Correlates of client-perpetrated violence encompassed sociodemographic, work context, and behavioral and social factors, suggesting that approaches to violence prevention for FSWs must be multi-dimensional. Prevention could involve teaching FSWs strategies for risk avoidance in the workplace (e.g., avoiding use of alcohol with clients), enhancement of FSWs' community-based supports, development of interventions that deliver an anti-violence curriculum to clients, and programs to address FSWs' financial need by increasing their economic opportunities outside of the sex trade.","Department of Psychiatry, University of California San Diego, La Jolla, California, 92093-0680, United States of America.",2015,10.1371/journal.pone.0143317
10,,26591622,"Efficacy of CPC and essential oils mouthwashes compared to a negative control mouthwash in controlling established dental plaque and gingivitis: A 6-week, randomized clinical trial.","PURPOSE: To evaluate the clinical efficacy of a mouthwash containing 0.075% cetylpyridinium chloride (CPC) in a fluoride-free, alcohol-free base and a mouthwash containing essential oils in a fluoride-free, 21.6% alcohol base as compared to a fluoride-free, alcohol-free non-antibacterial mouthwash in controlling established dental plaque and gingivitis after 6 weeks of twice daily use.METHODS: A 6-week, parallel-group, randomized double blind clinical trial was conducted in Santo Domingo, Dominican Republic. Recruited subjects were randomly assigned to one of three treatment groups: (1) a mouthwash containing 0.075% CPC in a fluoride-free, alcohol-free base (CPC); (2) a commercially-available mouthwash containing essential oils in a fluoride-free, 21.6% alcohol base (EO); or (3) a fluoride-free, alcohol-free non-antibacterial mouthwash (NC). Subjects were instructed to rinse with the assigned mouthwash, after tooth brushing, twice daily (morning and evening). After 4 and 6 weeks of product use, subjects were examined for gingivitis (Whole Mouth Gingival, Gingival Interproximal, Gingival Severity Indexes) and plaque (Whole Mouth Plaque, Plaque Interproximal, and Plaque Severity Indexes) parameters. For treatment group comparisons, ANCOVA and post hoc Tukey's pair-wise comparisons (α = 0.05) were performed.RESULTS: 132 subjects were screened; 120 were enrolled; and 116 completed the study. After 6 weeks of product use, subjects using the CPC and EO mouthwashes exhibited statistically significant (P &lt; 0.001) reductions of all gingival and plaque measurements compared to subjects using the NC mouthwash. Subjects using the CPC mouthwash did not exhibit a statistically significant (P &gt; 0.05) reduction with respect to gingival severity and all plaque measures (Whole, Interproximal, and Severity) when compared to EO mouthwash. Subjects using the CPC mouthwash exhibited statistically significant (P &lt; 0.05) reductions in Gingival Index scores of 5.1% (P = 0.005), and Gingival Interproximal Index scores of 5.5% (P = 0.016) relative to subjects using the EO mouthwash. These reductions were not considered clinically significant.",NA,2015,NA
