,direction,postal,center_name,state,website,city,email
0,"Cantón Venecia, Calle La Fuente, después de Unicentro",No tiene, Servicio de Adicciones Hospital Nacional Psiqui\xe1trico 'Dr. Jos\xe9 Molina Mart\xednez'\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,San Salvador,http://www.salud.gob.sv,Soyapango,walterlara@yahoo.com
1,"ORGANO JUDICIAL, ANCÓN, PANAMÁ",0816-06762 Zona 1 Panamá, \xd3rgano Judicial\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,República de Panamá,http://www.organojudicial.gob.pa,Panamá,mdeantinori@hotmail.com
2,"Rio Abajo, Calle Matias Hernandez detras de Villa Lorena ","0838-02255 Zona 9, Panamá", Instituto Nacional de Salud Mental de Panam\xe1/Centro de Estudios Y Tratamiento en Adiccion \n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Panamá,http://no,Panamá,"dgminsam@cwpanama,net"
3,Martín Garcia 1228,11800, Policl\xednica de Toxicolog\xeda y Uso Problem\xe1tico de Drogas\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Montevideo e Interior,http://www.sanidadpolicial.gub.uy/,Montevideo e Interior,cdellacqua@sanidadpolicial.gub.uy
4,XXXXXXX,XXXXXXX, Jefatura de Prevenci\xf3n Hol\xedstica-Viceministerio de Defensa Social y Sustancias Controladas\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.vds.gob.bo,La Paz,XXXXX
5,XXXXX,XXXXX, Unidad de Promoci\xf3n de la Salud - Ministerio de Salud y Deportes\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.sns.gob.bo,La Paz,XXXXXX
6,XXXXXXX,XXXXXXX, Fuerza especial de Lucha Contra el Narcotrafico\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.felcn.gov.bo,La Paz,ivantapia64@hotmail.com
7,ED. DANTE 3 PISO BLOQUE A,0054, GOBIERNO AUTONOMO MUNICIPAL DE LA PAZ. UNIDAD ESPECIAL DE PREVENCION. DIRECCION ESPECIAL DE SEGURIDAD CIUDADANA\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,LA PAZ,http://www.lapaz.bo,LA PAZ,lauritamivida@hotmail.com
8,"680-50, El Dorado, Panamá","680-50, El Dorado, Panamá", Ministerio de Desarrollo Social\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Panamá,http://www.mides.gob.pa,Panamá,www.mides.gob.pa
9,"Av. Chicani s/n- Irpavi 2 - Casilla Correo 3-12434 -La Paz, Bolivia",La Paz, Comunidad Terapeutica Adicciones -Centro de Rehabilitacion y Salud Mental (Hospital) San Juan de Dios\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.hsjd.org/bol-lapaz/centros-bol-lapaz,La Paz,"sjdlapaz@hsjd.org, - ramosric@yahoo.com"
